Odkurzanie,True,2023-12-12 12:12:12,5
Zmywanie naczyñ,True,2023-12-12 12:12:12,5
Pranie i sk³adanie ubrañ,True,2023-12-12 12:12:12,5
Sprz¹tanie ³azienki,True,2023-12-12 12:12:12,5
Mycie okien,False,2023-12-12 12:12:12,5
Koszenie trawy,False,2023-12-12 12:12:12,5
Przycinanie krzewów i drzew,False,2023-12-12 12:12:12,5
Zakupy spo¿ywcze,False,2023-12-12 12:12:12,5
Gotowanie obiadu,False,2023-12-12 12:12:12,5
Prasowanie ubrañ,False,2023-12-12 12:12:12,5
Wyrzucanie œmieci,False,2023-12-12 12:12:12,5
Sprz¹tanie pod³óg,False,2023-12-12 12:12:12,5
Mycie samochodu,True,2023-12-12 12:12:12,5
Odœnie¿anie podjazdu,False,2023-12-12 12:12:12,5
Organizowanie szafy,False,2023-12-12 12:12:12,5
Podlewanie roœlin,False,2023-12-12 12:12:12,5
Naprawa drobnych usterek w domu,False,2023-12-12 12:12:12,5
Malowanie œcian,False,2023-12-12 12:12:12,5
Czyszczenie dywanów,False,2023-12-12 12:12:12,5
Monta¿ mebli,False,2023-12-12 12:12:12,5
Sortowanie i organizowanie dokumentów,False,2023-12-12 12:12:12,5
Planowanie bud¿etu domowego,False,2023-12-12 12:12:12,5
Tworzenie listy zakupów,False,2023-12-12 12:12:12,5
Zorganizowanie kalendarza rodzinnych wydarzeñ,False,2023-12-12 12:12:12,5
Przygotowywanie prezentów dla bliskich,False,2023-12-12 12:12:12,5
Konserwacja urz¹dzeñ domowych,False,2023-12-12 12:12:12,5
Konserwacja ogrodu,False,2023-12-12 12:12:12,5
Przegl¹danie i sortowanie zdjêæ,False,2023-12-12 12:12:12,5
Przegl¹danie i organizowanie e-maili,False,2023-12-12 12:12:12,5
Organizowanie spotkañ rodzinnych,False,2023-12-12 12:12:12,5
Czyszczenie piekarnika,False,2023-12-12 12:12:12,5
Przygotowywanie posi³ków na ca³y tydzieñ,False,2023-12-12 12:12:12,5
Sprz¹tanie gara¿u,False,2023-12-12 12:12:12,5
Wymiana ¿arówek i baterii w domu,False,2023-12-12 12:12:12,5
Naprawa uszkodzonych mebli,False,2023-12-12 12:12:12,5
Odpowiadanie na e-maile,False,2023-12-12 12:12:12,5
Przygotowywanie raportów,False,2023-12-12 12:12:12,5
Spotkania z klientami,False,2023-12-12 12:12:12,5
Tworzenie prezentacji,False,2023-12-12 12:12:12,5
Pisanie artyku³ów i blogów,False,2023-12-12 12:12:12,5
Organizowanie podró¿y s³u¿bowych,False,2023-12-12 12:12:12,5
Zarz¹dzanie harmonogramem spotkañ,False,2023-12-12 12:12:12,5
Kontrola bud¿etu biurowego,False,2023-12-12 12:12:12,5
Przygotowywanie dokumentów prawnych,False,2023-12-12 12:12:12,5
Analiza danych,False,2023-12-12 12:12:12,5
Wprowadzanie danych do systemu,False,2023-12-12 12:12:12,5
Aktualizowanie stron internetowych,False,2023-12-12 12:12:12,5
Planowanie wydarzeñ firmowych,False,2023-12-12 12:12:12,5
Negocjowanie umów,False,2023-12-12 12:12:12,5
Przesy³anie dokumentów do druku,False,2023-12-12 12:12:12,5
Zarz¹dzanie baz¹ danych,False,2023-12-12 12:12:12,5
Koordynowanie zespo³u,False,2023-12-12 12:12:12,5
Rekrutacja pracowników,False,2023-12-12 12:12:12,5
Analiza rynku i konkurencji,False,2023-12-12 12:12:12,5
Tworzenie strategii marketingowej,False,2023-12-12 12:12:12,5
Obs³uga telefonu i rozmowy z klientami,False,2023-12-12 12:12:12,5
Przygotowywanie ofert handlowych,False,2023-12-12 12:12:12,5
Zarz¹dzanie projektami,False,2023-12-12 12:12:12,5
Kontrola jakoœci produktów lub us³ug,False,2023-12-12 12:12:12,5
Organizowanie szkoleñ dla pracowników,False,2023-12-12 12:12:12,5
Prowadzenie negocjacji handlowych,False,2023-12-12 12:12:12,5
Monitorowanie wskaŸników wydajnoœci,False,2023-12-12 12:12:12,5
Tworzenie harmonogramów pracy,False,2023-12-12 12:12:12,5
Przygotowywanie raportów finansowych,False,2023-12-12 12:12:12,5
